date,USD_INR,GBP_INR,EUR_INR,JPY_INR,USD_INR_change,GBP_INR_change,EUR_INR_change,JPY_INR_change,USD_INR_yoy
1998-08-25,42.5007,69.5749,,29.4681,,,,,
1998-08-27,42.5297,69.7788,,29.6191,0.06823417026071699,0.293065458951447,,0.5124185135790826,
1998-08-28,42.5405,70.5965,,29.8151,0.025394018768065685,1.1718458901557538,,0.6617351641339697,
1998-09-01,42.5206,71.2657,,30.5548,-0.046778951822379344,0.9479223474251341,,2.48095763556051,
1998-09-02,42.5297,71.0985,,30.8859,0.021401391325603925,-0.23461496905242685,,1.0836267951352951,
1998-09-03,42.5604,71.1744,,31.1566,0.07218484964626182,0.10675330703180386,,0.8764517142126449,
1998-09-04,42.5405,71.1744,,31.482,-0.04675707935075657,0.0,,1.0444015072247792,
1998-09-10,42.5405,71.1491,,31.3254,0.0,-0.03554648862512666,,-0.497427101200687,
1998-09-11,42.5098,71.8907,,32.2654,-0.07216652366569543,1.0423181740879306,,3.000759766834582,
1998-09-14,42.4899,71.0379,,32.1141,-0.0468127349458225,-1.1862452306070193,,-0.46892336682637925,
1998-09-15,42.5098,71.398,,31.904,0.04683465953085886,0.5069125072672431,,-0.6542297620048543,
1998-09-16,42.4899,71.0833,,31.6266,-0.0468127349458225,-0.4407686489817708,,-0.8694834503510496,
1998-09-17,42.4701,71.4286,,31.5766,-0.0465993094829531,0.4857681058701768,,-0.15809476832793212,
1998-09-18,42.5297,71.495,,32.1636,0.14033402323045951,0.09295996281601937,,1.858971516882768,
1998-09-21,42.5206,71.5512,,31.7309,-0.021396812110119345,0.07860689558709666,,-1.345309604646261,
1998-09-22,42.5098,71.3114,,31.5686,-0.025399453441399267,-0.3351446237099931,,-0.5114888011370611,
1998-09-23,42.5405,71.6127,,31.3289,0.07221864134858702,0.4225130904736085,,-0.759298796905783,
1998-09-24,42.5297,71.5359,,31.121,-0.02538757184330498,-0.10724354758304688,,-0.6636045312794381,
1998-09-25,42.5098,72.2335,,31.3913,-0.04679083087818503,0.9751747024920432,,0.86854535522638,
1998-09-28,42.5297,72.197,,31.332,0.0468127349458225,-0.050530570995455104,,-0.18890584333876026,
1998-09-29,42.4899,72.5426,,31.4974,-0.09358166175637006,0.47869025028739465,,0.5278948040342124,
1998-10-05,42.4394,71.8391,,31.4429,-0.11885177418633486,-0.9697750011717132,,-0.17303015486991313,
1998-10-06,42.3998,71.4388,,31.9349,-0.09330951898471884,-0.5572174484368531,,1.564741165732153,
1998-10-07,42.4502,71.3725,,32.7521,0.11886848522870697,-0.09280671007911856,,2.5589558758599473,
1998-10-08,42.3693,72.0098,,34.4654,-0.19057625170199044,0.8929209429402007,,5.2311149514077115,
1998-10-09,42.3603,72.5321,,36.3795,-0.02124179535654136,0.7253179428355683,,5.553685725394164,
1998-10-11,42.2905,70.1804,,34.5602,-0.16477692556473578,-3.242288586708497,,-5.000893360271574,
1998-10-13,42.3496,71.5052,,35.6331,0.13974769747342464,1.887706539147671,,3.1044380530205196,
1998-10-14,42.3406,72.0773,,35.2833,-0.02125167652115012,0.8000816723818582,,-0.9816715357350403,
1998-10-15,42.2905,72.3641,,35.8178,-0.1183261455907525,0.3979061368835968,,1.5148809776863281,
1998-10-16,42.2994,72.1813,,36.4185,0.021044915524748298,-0.25261144683620396,,1.6770990959802168,
1998-10-20,42.2994,71.5871,,36.7028,0.0,-0.8232049021006604,,0.7806471985392083,
1998-10-23,42.2905,71.6692,,35.6111,-0.021040487571921673,0.11468546707436023,,-2.9744324683675494,
1998-10-26,42.2708,71.0934,,35.5404,-0.04658256582447118,-0.803413460733482,,-0.1985336032866214,
1998-10-27,42.2601,70.502,,35.407,-0.025312982011227447,-0.8318634359870347,,-0.3753474918684163,
1998-10-28,42.2708,70.7864,,35.8828,0.025319391104128286,0.4033928115514618,,1.3438020730364153,
1998-10-29,42.2905,70.932,,36.203,0.04660427529168398,0.2056892284393541,,0.8923495379401736,
1998-10-30,42.3693,71.0429,,36.6601,0.18633026329790692,0.15634692381436555,,1.2626025467502577,
1998-11-02,42.2994,70.8918,,36.4954,-0.16497794393582899,-0.21268838969129567,,-0.4492622769714294,
1998-11-03,42.2905,70.2445,,36.6322,-0.021040487571921673,-0.9130816258015706,,0.37484176087945187,
1998-11-05,42.3496,70.2099,,35.9355,0.13974769747342464,-0.04925652542191461,,-1.9018786750454542,
1998-11-06,42.3298,70.3928,,35.8501,-0.046753688346534705,0.2605045727169353,,-0.23764800823697918,
1998-11-09,42.2708,70.1066,,35.3827,-0.13938171217439121,-0.40657567251195514,,-1.3037620536623273,
1998-11-10,42.2905,70.1804,,34.5606,0.04660427529168398,0.10526826290249147,,-2.3234518564157036,
1998-11-11,42.2797,70.0624,,34.9032,-0.02553765029972288,-0.16813811263545198,,0.991302234336211,
1998-11-12,42.3298,70.3136,,34.3728,0.11849658346676506,0.35853753225696394,,-1.5196314378051357,
1998-11-13,42.3209,70.2988,,34.817,-0.0210253769212132,-0.021048559595859828,,1.292300889075082,
1998-11-16,42.3298,70.5866,,34.5777,0.021029798515614928,0.40939532396002676,,-0.6873079242898594,
1998-11-17,42.3693,70.9824,,34.94,0.09331487509982583,0.5607296569037024,,1.047785133192769,
1998-11-18,42.4394,71.0631,,34.9775,0.16544998383263287,0.11369015417908024,,0.10732684602174913,
1998-11-19,42.4701,70.8516,,34.9102,0.07233844022300762,-0.2976228169049744,,-0.19240940604673407,
1998-11-20,42.3998,70.5318,,35.4514,-0.16552821867620304,-0.45136595362701426,,1.550263246844752,
1998-11-23,42.3801,70.1902,,35.236,-0.04646248331360292,-0.48432054761115007,,-0.6075923658868221,
1998-11-24,42.4304,70.141,,34.9838,0.11868778034973548,-0.07009525546300965,,-0.7157452605289882,
1998-11-25,42.4196,70.4424,,35.2326,-0.025453448470902362,0.42970587815971406,,0.711186320525492,
1998-11-26,42.4809,70.4771,,34.884,0.14450867052022698,0.04926010470964748,,-0.9894245670203139,
1998-11-27,42.5206,70.5219,,34.6085,0.09345376392686511,0.06356674721292865,,-0.7897603485838789,
1998-11-30,42.6294,70.4077,,34.4415,0.25587597540954743,-0.1619355122309485,,-0.48254041637170175,
1998-12-01,42.5804,70.1705,,34.6574,-0.11494414652798435,-0.3368949702944435,,0.6268600380355149,
1998-12-02,42.5695,70.368,,34.6982,-0.025598632234546947,0.28145730755799736,,0.1177237761632366,
1998-12-03,42.5496,70.922,,35.6215,-0.04674708417998774,0.7872896771259796,,2.6609449481529213,
1998-12-04,42.5405,70.927,,35.8988,-0.021386805046341717,0.007049998590002993,,0.7784624454332478,
1998-12-07,42.4645,70.6364,,35.8107,-0.17865328334175645,-0.4097170330057853,,-0.24541210291153526,
1998-12-08,42.5894,70.2346,,35.4326,0.29412803635977536,-0.5688285359956025,,-1.055829682189946,
1998-12-09,42.5804,70.5268,,35.8523,-0.021132018765235294,0.41603426231515694,,1.1845024073875443,
1998-12-10,42.5804,70.5766,,36.2491,0.0,0.07061145550344428,,1.1067630249663063,
1998-12-11,42.5894,71.2149,,36.3799,0.021136485331285648,0.9044074098213839,,0.3608365449073281,
1998-12-14,42.5894,71.7772,,36.7567,0.0,0.7895819554615491,,1.0357367667310768,
1998-12-15,42.5695,71.9373,,36.5533,-0.04672524149201829,0.22305133106335084,,-0.5533685015248979,
1998-12-16,42.5496,71.7103,,36.6416,-0.04674708417998774,-0.31555257147541926,,0.24156505705366094,
1998-12-17,42.5496,71.2403,,36.6178,0.0,-0.6554149125021058,,-0.0649534954805353,
1998-12-18,42.5405,71.3267,,36.6803,-0.021386805046341717,0.12127966895141284,,0.17068201803494,
1998-12-21,42.5496,71.7257,,37.0725,0.021391379979074365,0.5593978131611221,,1.069238801209349,
1998-12-22,42.5297,71.5256,,36.3038,-0.04676894729914727,-0.2789795010714524,,-2.0735046193269824,
1998-12-23,42.5496,71.5359,,36.6068,0.04679083087819613,0.01440043844442851,,0.8346233727598795,
1998-12-24,42.5405,71.2149,,36.5857,-0.021386805046341717,-0.44872574469602133,,-0.057639564233957774,
1998-12-28,42.5206,71.2911,,36.5763,-0.046778951822379344,0.10700008003943218,,-0.025693098669699044,
1998-12-29,42.5297,71.2809,,36.8847,0.021401391325603925,-0.014307536284330347,,0.8431689372626616,
1998-12-30,42.5405,71.5308,,36.8887,0.025394018768065685,0.35058479901346473,,0.01084460494458206,
1998-12-31,42.4809,70.7014,,37.4686,-0.14010178535749374,-1.1595005228516864,,1.5720261218205023,
1999-01-01,42.4701,,,,-0.025423190186635303,0.0,,0.0,
1999-01-04,42.5098,70.7814,50.4872,37.4703,0.0934775288967904,0.11315193192780182,,0.004537132425541657,
1999-01-05,42.5604,70.4473,50.2412,38.208,0.11903137629440952,-0.4720166597439568,-0.4872522144226732,1.968759257331798,
1999-01-06,42.5098,70.3235,49.9276,37.7229,-0.11888986005771374,-0.17573420131077322,-0.6241889126852085,-1.269629396984917,
1999-01-07,42.5206,70.3087,49.5148,38.0322,0.025405906402764522,-0.02104559642224224,-0.8267972023489945,0.8199263577296501,
1999-01-08,42.5206,70.0427,49.7265,38.0799,0.0,-0.3783315578299806,0.4275489348639194,0.1254200388092208,
1999-01-11,42.5206,69.7107,49.2465,38.384,0.0,-0.47399657637411385,-0.9652800820488139,0.7985840298950331,
1999-01-12,42.5007,69.2569,48.7948,38.1563,-0.04680084476700319,-0.6509761055332963,-0.9172225437340642,-0.5932159233013712,
1999-01-13,42.5007,69.4734,49.1884,37.899,0.0,0.312604231491731,0.8066433308467236,-0.6743316306874636,
1999-01-14,42.5206,70.1066,49.5025,37.5813,0.04682275821339399,0.9114279709932172,0.6385651901667844,-0.838280693422,
1999-01-15,42.4701,70.4275,49.8033,37.7273,-0.11876596285094188,0.45773151172641136,0.6076460784808946,0.3884910846617906,
1999-01-18,42.5007,70.2593,49.3097,37.3329,0.07205068977940154,-0.23882716268502913,-0.9910989834006956,-1.0453968346528786,
1999-01-19,42.5007,70.1115,49.1666,37.0741,0.0,-0.2103636102266715,-0.29020659221207223,-0.6932223320449293,
1999-01-21,42.5098,70.0771,49.2053,37.5612,0.021411412047322997,-0.04906470407850527,0.0787119711348705,1.3138552250762547,
1999-01-22,42.5098,70.2445,49.334,37.3533,0.0,0.2388797481631011,0.26155718997751265,-0.5534966933963825,
1999-01-25,42.5098,70.3977,49.2902,37.1428,0.0,0.2180953668970531,-0.08878258401914252,-0.5635378935729851,
1999-01-27,42.4899,70.4176,48.9932,37.3949,-0.0468127349458225,0.028267968981920966,-0.6025538545187392,0.678731813433564,
1999-01-28,42.5007,69.9839,48.6808,36.7647,0.025417805172534003,-0.615897162073098,-0.6376395091563847,-1.6852565456786928,
1999-01-29,42.5007,70.0084,48.5296,36.6221,0.0,0.03500805185190359,-0.3105947313930657,-0.3878720620595133,
1999-02-01,42.5007,69.891,48.2393,36.7485,0.0,-0.16769416241477764,-0.5981916191355463,0.3451467829534538,
1999-02-02,42.5007,69.8617,48.1464,37.407,0.0,-0.041922422057216746,-0.19258156731130072,1.7919098738723882,
1999-02-03,42.4809,69.4782,48.1835,37.8,-0.04658746797112645,-0.5489416948055936,0.07705664390276201,1.0506055016440863,
1999-02-04,42.4592,69.541,48.0423,37.3357,-0.05108178028242483,0.0903880641697663,-0.2930463747963574,-1.2283068783068618,
1999-02-05,42.4701,69.8275,48.223,37.9564,0.025671703659035927,0.4119871730346114,0.3761268715277932,1.6624838961101451,
1999-02-08,42.4701,69.3963,47.7555,37.4169,0.0,-0.6175217500268615,-0.9694544097215041,-1.421367674489693,
1999-02-09,42.4394,69.5846,48.0885,37.1142,-0.07228614954992718,0.27134011467468966,0.6973018814586895,-0.808992727884994,
1999-02-10,42.4394,69.3433,47.9478,36.8212,0.0,-0.3467721306151028,-0.29258554540066983,-0.7894552489343676,
1999-02-11,42.4592,69.0703,48.0885,37.1804,0.04665475949237052,-0.3936934065728037,0.2934441204810234,0.97552496931117,
1999-02-12,42.4502,68.88,47.7076,37.1293,-0.021196819534985423,-0.2755163941665306,-0.7920812668309574,-0.1374380049703583,
1999-02-15,42.4196,69.2521,47.8606,37.1237,-0.0720844660331399,0.5402148664343853,0.32070361954907867,-0.015082428163204487,
1999-02-16,42.4899,69.1133,47.6236,36.3782,0.1657252779375451,-0.20042713506160936,-0.49518810879929376,-2.0081511271775154,
1999-02-17,42.4899,69.5797,47.7259,35.9932,0.0,0.6748339321085872,0.2148094642152154,-1.058326140380772,
1999-02-18,42.4502,69.4927,47.8263,35.8076,-0.09343396901380085,-0.12503646897011889,0.2103679553449922,-0.5156529566695989,
1999-02-19,42.4394,69.43,47.5308,35.3814,-0.025441576246998387,-0.09022530424057651,-0.6178608840742505,-1.1902501145008348,
1999-02-22,42.3998,68.7758,46.7771,34.7398,-0.09330951898471884,-0.9422439867492471,-1.585708635242833,-1.8133821725539345,
1999-02-23,42.4394,68.9417,46.7968,35.2638,0.09339666696541737,0.24121856815912945,0.04211462446368497,1.5083564096511903,
1999-02-24,42.4899,68.4744,46.7333,35.0014,0.11899319971535594,-0.6778190848209298,-0.13569303884025663,-0.744105853594923,
1999-03-01,42.5098,68.1106,46.7596,35.6403,0.04683465953085886,-0.5312934468940211,0.056276787643927406,1.8253555572063096,
1999-03-03,42.5496,68.686,46.4835,35.126,0.093625469891645,0.8448024242922569,-0.5904669843197929,-1.44302937966293,
1999-03-04,42.5297,68.573,46.2642,34.7837,-0.04676894729914727,-0.164516786535851,-0.4717803091419448,-0.9744918294140925,
1999-03-05,42.5297,68.4416,46.0575,34.6364,0.0,-0.19162060869438724,-0.4467817448480793,-0.42347421349655523,
